,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X_Distance,Y_Distance,Z_Distance,Distance,Angle,Yaw Heading_Diff,Pitch Heading_Diff,Fish1_Speed,Fish2_Speed,Speed_Diff,Sync
0,2021,10,06,34,Y,N,2,individual1xindividual2,0,,,,,,,,2.949592193658183,,,0.9989129847609772
1,2021,10,06,34,Y,N,2,individual1xindividual2,1,,,,,,,,4.065970502406084,,,0.9756993170824985
2,2021,10,06,34,Y,N,2,individual1xindividual2,2,,,,,,,,8.656358891688924,,,0.6582522286619603
3,2021,10,06,34,Y,N,2,individual1xindividual2,3,,,,,,,,,,,0.6093040160301818
4,2021,10,06,34,Y,N,2,individual1xindividual2,4,,,,,,,,,,,0.6093040160301818
5,2021,10,06,34,Y,N,2,individual1xindividual2,5,-0.9147178313675807,-0.03333606700697474,4.997805327703054,5.0809327980206875,-63.985068439599495,97.15870027721267,58.45570279556759,3.1394312062409875,2.0371504369296987,1.1022807693112882,0.6093040160301818
6,2021,10,06,34,Y,N,2,individual1xindividual2,6,-0.89702153992262,-0.22134055139064296,5.137237589830869,5.219659887113943,-166.19278943986566,117.66467051065462,52.91820525857891,3.810741999413691,2.138182471270259,1.6725595281434316,0.5096950164524607
7,2021,10,06,34,Y,N,2,individual1xindividual2,7,-0.8702352472908054,-0.2713602008682492,4.939313339131473,5.022724560073412,-162.71873093903048,12.944577421400027,34.482183301101074,2.786591699036669,1.942766159208677,0.8438255398279926,0.5041611831425873
8,2021,10,06,34,Y,N,2,individual1xindividual2,8,-1.0367624767934496,-0.41420299813991823,4.981090946478783,5.104675070369111,-158.3242742102668,8.074430995614085,47.20887676695944,3.2995809378658443,1.9236596615062151,1.3759212763596296,0.5041611831425873
9,2021,10,06,34,Y,N,2,individual1xindividual2,9,,,,,,,,3.3459545297718547,,,0.6993204432402699
10,2021,10,06,34,Y,N,2,individual1xindividual2,10,,,,,,,,,,,1.0
11,2021,10,06,34,Y,N,2,individual1xindividual2,11,,,,,,,,,,,1.0
0,2021,10,06,34,Y,N,2,individual3xindividual1,0,,,,,,,,,2.949592193658183,,0.8945531134410427
1,2021,10,06,34,Y,N,2,individual3xindividual1,1,,,,,,,,,4.065970502406084,,0.8945531134410427
2,2021,10,06,34,Y,N,2,individual3xindividual1,2,2.674862327224087,-0.01901507610890157,-5.667944889901366,6.267443603071438,-0.47978346689958085,80.33032990669899,91.70879944332759,1.954744460760754,8.656358891688924,-6.701614430928169,0.9397929185652888
3,2021,10,06,34,Y,N,2,individual3xindividual1,3,,,,,,,,2.4942287671825105,,,0.4132529327245753
